"ID","workplace.belonging_1","workplace.belonging_2","workplace.belonging_3","workplace.belonging_4","workplace.belonging_5","workplace.belonging_6","biology.belonging_1","biology.belonging_2","biology.belonging_3","biology.belonging_4","biology.belonging_5","biology.belonging_6","climate_campus","climate_dept","climate_lab","climate_student","climate_teach","gender","race","lgbtq","lgbtq.discrim._1","lgbtq.discrim._2","lgbtq.discrim._3","lgbtq.discrim._4","lgbtq.climate_1","lgbtq.climate_2","lgbtq.climate_3","lgbtq.climate_4","lgbtq.climate_5","lgbtq.climate_6","lgbtq.climate2_1","lgbtq.climate2_2","lgbtq.climate2_3","lgbtq.climate2_4","lgbtq.climate2_5","lgbtq.climate2_6","lbtq.climate3_1","lbtq.climate3_2","lbtq.climate3_3","lbtq.climate3_4","lbtq.climate3_5","lbtq.climate3_6","lbtq.climate3_7","lbtq.climate3_8","outness_friends","outness_immediatefam","outness_extendedfam","outness_coworkers","outness_lab","outness_gradcourse","outness_undergrads","outness_broadly","personal_eb_work","personal_eb_outside","other_eb","workplace_sob_mean","biology_sob_mean","workplace_fom_mean","biology_fom_mean","lgbtq.discrim_mean","climate_inclusion_mean","climate_exclusion_mean","race2","gender2","lgbtq2","lgbq","tgnc","job2","region"
434,10,10,10,10,10,10,5,5,5,5,5,5,"comfortable","comfortable","very comfortable","comfortable","comfortable","Woman","White","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","",10,5,10,5,NA,NA,NA,"white","woman","no",NA,NA,"grad_student","southwestUS"
435,10,10,10,9,9,8,8,9,9,6,5,5,"comfortable","comfortable","uncomfortable",NA,"very comfortable","Woman","Other (please describe)","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","",10,8.66666666666667,8.66666666666667,5.33333333333333,NA,NA,NA,"other","woman","no",NA,NA,"lecturer","outsideUS"
436,1,0,0,0,0,0,10,10,10,8,10,5,"very uncomfortable","very uncomfortable","very uncomfortable","neutral","neutral","Man","White","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","",0.333333333333333,10,0,7.66666666666667,NA,NA,NA,"white","man","no",NA,NA,"faculty","midwestUS"
458,9,8,9,8,9,10,8,10,10,10,10,10,"very comfortable","comfortable","very comfortable",NA,NA,"Woman","White","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","",8.66666666666667,9.33333333333333,9,10,NA,NA,NA,"white","woman","no",NA,NA,"staff","northeastUS"
459,8,10,10,8,9,7,9,9,9,10,10,8,"comfortable","comfortable","very comfortable",NA,"very comfortable","Woman","White","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","",9.33333333333333,9,8,9.33333333333333,NA,NA,NA,"white","woman","no",NA,NA,"faculty","westUS"
460,4,4,4,5,5,1,7,7,7,7,7,7,"neutral","uncomfortable","comfortable",NA,"very comfortable","Woman","White","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","",4,7,3.66666666666667,7,NA,NA,NA,"white","woman","no",NA,NA,"faculty","northeastUS"
463,9,10,10,10,10,10,6,6,6,4,5,4,"very comfortable","comfortable","very comfortable",NA,"very comfortable","Woman","White","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","",9.66666666666667,6,10,4.33333333333333,NA,NA,NA,"white","woman","no",NA,NA,"staff","westUS"
467,9,9,9,9,9,9,9,9,9,9,9,9,"comfortable","comfortable","very comfortable",NA,"comfortable","Woman","White","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","",9,9,9,9,NA,NA,NA,"white","woman","no",NA,NA,"faculty",NA
470,7,8,8,10,9,9,9,9,9,8,8,8,"very comfortable","very comfortable","very comfortable","comfortable","very comfortable","Man","White","Yes",6,5,5,6,4,4,5,5,5,4,4,5,5,5,5,5,4,4,5,5,5,5,5,5,"Out","Out","Out","Out to most","Out to most","Out to most","Out to most","Out to most","yes","yes","yes",7.66666666666667,9,9.33333333333333,8,5.5,4.75,4.625,"white","man","yes","yes","no","grad_student","westUS"
471,5,7,7,5,6,6,6,5,5,3,4,6,"comfortable","comfortable","very comfortable",NA,NA,"Non-binary or gender fluid","Asian","Yes",3,5,5,1,4,2,4,4,2,2,4,2,2,2,4,4,2,4,1,4,4,2,4,4,"Out","Out","Out to most","Out",NA,NA,NA,"Out","no","yes","no",6.33333333333333,5.33333333333333,5.66666666666667,4.33333333333333,3.5,3.83333333333333,1.875,"asian","nonbinary/genderfluid","yes","yes","yes","industry","westUS"
472,6,4,3,5,5,5,7,7,7,10,10,9,"uncomfortable","uncomfortable","uncomfortable",NA,"uncomfortable","Woman","White","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","",4.33333333333333,7,5,9.66666666666667,NA,NA,NA,"white","woman","no",NA,NA,"staff","westUS"
475,8,10,10,10,10,7,10,10,10,10,10,8,"comfortable","very comfortable",NA,NA,NA,"Woman","Asian","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","",9.33333333333333,10,9,9.33333333333333,NA,NA,NA,"asian","woman","no",NA,NA,"other","northeastUS"
477,8,8,8,8,8,8,8,8,8,8,8,8,"uncomfortable","very comfortable","comfortable",NA,"comfortable","Man","White","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","",8,8,8,8,NA,NA,NA,"white","man","no",NA,NA,"faculty","southeastUS"
478,6,6,6,4,8,7,6,5,5,5,9,4,"neutral","comfortable","comfortable",NA,"neutral","Man","Pacific Islander","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","",6,5.33333333333333,6.33333333333333,6,NA,NA,NA,"other","man","no",NA,NA,"postdoc","outsideUS"
481,8,8,8,5,5,2,5,5,5,3,5,5,"very comfortable","very comfortable","very comfortable",NA,NA,"Woman","White","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","",8,5,4,4.33333333333333,NA,NA,NA,"white","woman","no",NA,NA,"nonprofit","northeastUS"
483,9,6,6,9,9,10,3,3,3,7,8,8,"very comfortable","very comfortable","very comfortable","very comfortable",NA,"Woman","White","Decline to state",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","",7,3,9.33333333333333,7.66666666666667,NA,NA,NA,"white","woman",NA,NA,NA,"grad_student","outsideUS"
561,7,9,7,8,9,7,9,9,9,9,9,9,"neutral","neutral","comfortable",NA,"neutral","Woman","White","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","",7.66666666666667,9,8,9,NA,NA,NA,"white","woman","no",NA,NA,"faculty","northeastUS"
563,9,10,8,10,10,8,5,5,5,6,6,7,"comfortable","neutral","very comfortable",NA,NA,"Man","Asian","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","",9,5,9.33333333333333,6.33333333333333,NA,NA,NA,"asian","man","no",NA,NA,"faculty","midwestUS"
567,NA,NA,NA,NA,NA,NA,8,8,8,7,7,7,"","","","","","Man","Decline to state","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","",NA,8,NA,7,NA,NA,NA,NA,"man","no",NA,NA,"faculty","southwestUS"
572,9,7,7,7,8,9,6,8,8,8,8,NA,"very comfortable","very comfortable","very comfortable",NA,NA,"Woman","White","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","",7.66666666666667,7.33333333333333,8,8,NA,NA,NA,"white","woman","no",NA,NA,"staff","southeastUS"
577,10,10,10,8,8,6,7,10,7,7,9,6,"comfortable","comfortable",NA,NA,NA,"Woman","Hispanic, Latin*, or Spanish origin","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","",10,8,7.33333333333333,7.33333333333333,NA,NA,NA,"latinx","woman","no",NA,NA,"faculty","midwestUS"
580,10,10,10,8,9,7,5,3,3,5,5,4,"very comfortable","very comfortable","very comfortable",NA,"very comfortable","Woman","White","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","",10,3.66666666666667,8,4.66666666666667,NA,NA,NA,"white","woman","no",NA,NA,"faculty","midwestUS"
582,9,9,9,7,7,9,8,8,8,6,9,6,"neutral","very comfortable","very comfortable",NA,"comfortable","Woman","Asian","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","",9,8,7.66666666666667,7,NA,NA,NA,"asian","woman","no",NA,NA,"faculty","outsideUS"
583,10,10,10,10,10,10,9,9,9,8,9,5,"very comfortable","very comfortable","very comfortable",NA,"comfortable","Woman","Asian","Yes",7,7,7,5,5,1,4,5,5,1,5,1,1,2,5,5,1,5,1,5,5,1,5,5,"Out","Out to a few","Not out","Out","Out","Out","Out","Out to some","no","no","no",10,9,10,7.33333333333333,6.5,4.91666666666667,1.125,"asian","woman","yes","yes","no","faculty","outsideUS"
584,10,10,10,8,9,8,8,8,8,8,9,10,"very comfortable","very comfortable","very comfortable",NA,"very comfortable","Man","White","Yes",5,6,5,5,5,1,4,5,2,2,5,3,1,2,5,5,1,4,1,5,5,3,5,3,"Out","Out","Out to most","Out",NA,NA,"Out","Out","no","yes","no",10,8,8.33333333333333,9,5.25,4.41666666666667,1.75,"white","man","yes","yes","no","faculty","midwestUS"
586,3,9,7,6,8,4,4,7,3,4,3,3,"comfortable","neutral","comfortable",NA,"comfortable","Woman","White","Yes",1,1,2,1,2,4,2,3,2,3,4,5,5,3,5,2,4,2,2,4,2,5,4,4,"Out to most","Out","Out","Out to most","Out to most","Out to a few","Out to a few","Out to a few","no","no","no",6.33333333333333,4.66666666666667,6,3.33333333333333,1.25,3,3.875,"white","woman","yes","yes","no","faculty","southwestUS"
587,5,4,2,3,3,2,3,5,7,5,5,5,"comfortable","uncomfortable","very comfortable","neutral","comfortable","A gender that is not listed","More than one race/ethnicity","Yes",1,2,5,1,2,3,3,2,2,3,3,4,3,4,5,2,4,2,3,2,3,4,3,4,"Out","Out","Out to some","Out to some","Out",NA,"Out to most","Out","yes","yes","yes",3.66666666666667,5,2.66666666666667,5,2.25,2.75,3.5,"other","nonbinary/genderfluid","yes","yes","yes","grad_student","outsideUS"
588,4,4,4,2,4,1,5,5,5,6,6,7,"uncomfortable","uncomfortable","comfortable",NA,NA,"Man","White","Yes",2,2,4,2,2,4,2,3,3,3,4,4,5,4,4,2,3,2,2,1,2,3,3,2,"Out","Out","Out","Out","Out",NA,NA,"Out","no","yes","yes",4,5,2.33333333333333,6.33333333333333,2.5,2.5,3.5,"white","man","yes","yes",NA,"postdoc","southeastUS"
589,0,0,0,0,0,0,1,1,1,1,1,1,"uncomfortable","very uncomfortable","uncomfortable",NA,"neutral","Man","White","Yes",1,1,1,1,1,5,1,1,1,3,2,3,5,2,4,1,4,2,4,1,1,4,1,1,"Out","Out","Not out","Out to a few","Out to a few","Not out","Not out","Out to most","no","yes","yes",0,1,0,1,1,1.41666666666667,3.75,"white","man","yes","yes","no","grad_student","northeastUS"
590,2,4,5,3,2,3,5,5,6,6,6,4,"uncomfortable","uncomfortable","uncomfortable",NA,NA,"Woman","White","Yes",2,2,3,1,2,3,2,3,3,3,3,4,4,3,3,4,3,3,4,3,3,4,2,4,"Out","Out","Out to most","Out to most",NA,NA,NA,"Out to most","yes","no","yes",3.66666666666667,5.33333333333333,2.66666666666667,5.33333333333333,2,2.91666666666667,3.5,"white","woman","yes","yes","yes","grad_student","southwestUS"
592,8,8,8,6,6,5,7,10,9,9,10,9,"comfortable","very comfortable","very comfortable","comfortable","very comfortable","Man","White","Yes",2,3,4,2,3,2,2,3,4,3,4,4,2,2,5,5,2,4,3,2,3,3,3,4,"Out","Out","Out to most","Out to most","Out","Out","Out","Out","no","yes","yes",8,8.66666666666667,5.66666666666667,9.33333333333333,2.75,3.5,2.625,"white","man","yes","yes","no","grad_student","midwestUS"
593,8,8,8,8,7,10,10,10,10,8,8,10,"very comfortable","very comfortable","comfortable",NA,NA,"Woman","White","Yes",3,3,3,3,4,2,1,2,2,2,4,2,2,2,4,3,2,3,2,4,3,3,2,4,"Out","Out","Out","Out","Out",NA,NA,"Out","yes","no","no",8,10,8.33333333333333,8.66666666666667,3,3,2.125,"white","woman","yes","yes","no","staff","northeastUS"
594,6,7,8,7,6,7,6,7,7,6,8,6,"comfortable","neutral","very comfortable","neutral",NA,"Woman","White","Yes",3,3,3,2,4,4,2,4,4,3,4,2,3,3,5,4,4,3,3,3,4,4,3,4,"Out to most","Out to most","Out to a few","Out to some","Out to most",NA,NA,"Out to a few","no","yes","yes",7,6.66666666666667,6.66666666666667,6.66666666666667,2.75,3.66666666666667,3.25,"white","woman","yes","yes","no","grad_student","southeastUS"
595,10,10,10,10,10,10,10,10,10,8,8,10,"very uncomfortable","very uncomfortable","very uncomfortable",NA,"comfortable","Woman","Asian","Yes",5,3,4,5,4,2,4,3,3,1,4,2,2,2,4,4,2,3,2,4,4,2,4,4,"Out","Out to most","Out to some","Out","Out","Out to most","Out to most","Out to a few","no","no","no",10,10,10,8.66666666666667,4.25,3.75,1.875,"asian","woman","yes","yes","no","faculty",NA
596,2,2,2,2,2,2,5,3,3,5,5,5,"very uncomfortable","very uncomfortable","very uncomfortable",NA,NA,"Man","White","Yes",4,4,5,2,3,4,2,2,2,3,3,4,5,3,3,2,4,2,3,2,2,4,2,2,"Out","Out","Out","Out","Out",NA,NA,"Out","yes","yes","yes",2,3.66666666666667,2,5,3.75,2.25,3.75,"white","man","yes","yes","no","postdoc","midwestUS"
597,8,9,8,7,9,8,10,9,9,10,8,5,"very comfortable","very comfortable","comfortable","very comfortable",NA,"Woman","White","Yes",1,3,3,2,5,1,4,4,2,1,4,3,2,2,4,4,2,4,2,4,4,2,4,4,"Out","Out","Out","Out","Out",NA,NA,"Out","no","no","no",8.33333333333333,9.33333333333333,8,7.66666666666667,2.25,3.91666666666667,1.875,"white","woman","yes","yes","no","grad_student","westUS"
598,8,9,9,7,7,9,9,9,9,7,8,8,"very comfortable","very comfortable","very comfortable","very comfortable","very comfortable","Man","White","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","",8.66666666666667,9,7.66666666666667,7.66666666666667,NA,NA,NA,"white","man","no",NA,NA,"grad_student","outsideUS"
599,8,8,8,6,7,3,7,7,7,8,8,6,"comfortable",NA,"very comfortable",NA,NA,"Agender","White","Yes",1,3,5,2,5,3,4,3,4,2,4,3,2,2,5,4,2,4,2,3,4,3,4,4,"Out","Out to a few","Out to some","Out to most",NA,NA,NA,"Out to most","decline","yes","no",8,7,5.33333333333333,7.33333333333333,2.75,4,2.375,"white","agender","yes","yes","yes","industry","westUS"
600,9,10,9,7,9,6,NA,NA,NA,NA,NA,NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","",9.33333333333333,NA,7.33333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
601,2,5,5,6,7,7,3,8,3,4,3,3,"comfortable","neutral","comfortable","uncomfortable","comfortable","Agender","White","Yes",2,2,2,1,3,3,2,3,2,3,3,4,4,3,4,2,3,3,3,2,2,5,2,2,"Out","Out",NA,"Out","Out","Out","Out","Out","yes","yes","yes",4,4.66666666666667,6.66666666666667,3.33333333333333,1.75,2.5,3.5,"white","agender","yes","yes","yes","grad_student","midwestUS"
604,9,9,8,7,8,6,6,7,6,8,8,9,"comfortable","neutral","comfortable",NA,NA,"Woman","White","Yes",2,4,3,4,4,3,4,4,4,2,4,4,3,3,4,3,4,3,2,4,3,2,3,4,"Out to some","Not out","Not out","Not out","Not out",NA,NA,"Not out","no","no","no",8.66666666666667,6.33333333333333,7,8.33333333333333,3.25,3.66666666666667,2.875,"white","woman","yes","yes","no","grad_student","outsideUS"
605,5,6,6,6,6,5,9,9,9,9,9,9,"comfortable","comfortable",NA,NA,"comfortable","Woman","Asian","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","",5.66666666666667,9,5.66666666666667,9,NA,NA,NA,"asian","woman","no",NA,NA,"staff","midwestUS"
606,8,10,10,9,10,7,9,10,10,8,9,5,"comfortable","very comfortable","very comfortable",NA,NA,"Man","White","Yes",5,3,5,5,4,2,4,4,3,1,4,2,1,1,5,4,1,5,1,2,4,2,4,4,"Out","Out","Out to a few","Out","Out",NA,NA,"Out","no","no","no",9.33333333333333,9.66666666666667,8.66666666666667,7.33333333333333,4.5,3.91666666666667,1.375,"white","man","yes","yes","no","postdoc","midwestUS"
607,6,7,7,7,7,5,9,9,9,7,7,7,"neutral","neutral","very comfortable",NA,"very comfortable","Man","Hispanic, Latin*, or Spanish origin","Yes",3,3,3,1,4,2,2,4,2,3,3,4,3,2,5,3,2,3,2,4,3,3,3,4,"Out","Out to some","Not out","Out to most","Out","Out","Out","Out","no","yes","no",6.66666666666667,9,6.33333333333333,7,2.5,3.33333333333333,2.625,"latinx","man","yes","yes","no","faculty","outsideUS"
608,7,5,6,8,10,8,10,10,10,9,10,8,"uncomfortable","neutral","neutral",NA,NA,"Woman","Hispanic, Latin*, or Spanish origin","Yes",3,3,3,2,2,4,2,2,4,3,2,4,2,NA,3,2,4,2,2,2,2,3,4,3,"Out","Out to most","Out to some","Out to a few",NA,NA,NA,"Out to a few","no","no","no",6,10,8.66666666666667,9,2.75,2.5,3.14285714285714,"latinx","woman","yes","yes","no","government","outsideUS"
609,8,8,7,8,7,9,8,9,9,9,9,6,"comfortable","comfortable","very comfortable",NA,NA,"Woman","Hispanic, Latin*, or Spanish origin","Yes",4,4,5,2,4,3,4,4,4,2,4,3,2,2,5,4,3,3,1,3,4,2,4,4,"Out to most","Out to most","Not out","Out","Out",NA,NA,"Out","no","no","no",7.66666666666667,8.66666666666667,8,8,3.75,3.91666666666667,2.25,"latinx","woman","yes","yes","no","grad_student","southeastUS"
610,9,10,10,9,9,9,7,7,7,10,9,9,"very comfortable","comfortable","very comfortable",NA,"very comfortable","Woman","White","Yes",5,6,6,6,4,2,3,4,3,1,4,3,1,1,5,4,1,2,1,4,4,2,4,5,"Out","Out","Out to a few","Out to a few",NA,NA,"Out to most","Out to some","no","no","no",9.66666666666667,7,9,9.33333333333333,5.75,3.83333333333333,1.5,"white","woman","yes","yes","no","faculty","northeastUS"
611,5,8,8,5,5,7,7,8,8,7,8,8,"very comfortable","very comfortable",NA,NA,"comfortable","Man","White","Yes",4,4,5,4,5,2,3,4,4,1,4,4,2,2,4,3,3,3,2,4,4,2,3,3,"Out","Out","Out","Out to some","Not out",NA,"Not out","Out to a few","no","no","yes",7,7.66666666666667,5.66666666666667,7.66666666666667,4.25,3.66666666666667,2.25,"white","man","yes","yes","no","faculty","northeastUS"
612,8,10,10,7,9,8,9,10,9,9,10,6,"comfortable","comfortable","very comfortable",NA,"very comfortable","Woman","White","Yes",5,5,5,2,5,2,4,4,3,1,4,2,2,1,5,4,2,3,2,4,4,3,5,4,"Out","Out","Out","Out","Out","Out","Out","Out","no","yes","no",9.33333333333333,9.33333333333333,8,8.33333333333333,4.25,4.08333333333333,1.875,"white","woman","yes","yes","no","faculty","westUS"
613,7,8,7,7,7,5,4,8,8,9,10,8,"comfortable","very comfortable","comfortable","very comfortable",NA,"Woman","Hispanic, Latin*, or Spanish origin","Yes",1,3,5,1,4,1,4,4,3,1,3,4,1,1,4,3,1,4,1,4,4,3,3,4,"Out to most","Out to a few","Not out","Out to a few","Out to some",NA,NA,"Not out","no","no","no",7.33333333333333,6.66666666666667,6.33333333333333,9,2.5,3.66666666666667,1.625,"latinx","woman","yes","yes","no","grad_student","midwestUS"
614,3,2,2,5,5,7,6,5,5,7,7,8,"comfortable","comfortable","comfortable","uncomfortable","comfortable","Non-binary or gender fluid","White","Yes",1,1,3,1,2,3,2,3,2,3,3,4,5,5,4,2,4,2,4,3,3,4,3,3,"Out to most","Out to some","Out to a few","Out","Out","Out","Out","Out","no","yes","yes",2.33333333333333,5.33333333333333,5.66666666666667,7.33333333333333,1.5,2.66666666666667,4,"white","nonbinary/genderfluid","yes","yes","yes","postdoc","northeastUS"
615,7,8,8,2,3,3,7,7,7,7,8,4,"comfortable","neutral","uncomfortable","comfortable","comfortable","Woman","White","Yes",1,1,3,2,4,3,4,3,3,1,4,4,3,2,5,5,2,4,2,4,4,2,4,4,"Out to some","Out to a few","Not out","Out to some","Out to most","Out to some","Not out","Out to most","no","no","yes",7.66666666666667,7,2.66666666666667,6.33333333333333,1.75,4,2.375,"white","woman","yes","yes","no","grad_student","southeastUS"
617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
618,4,7,7,7,7,7,4,5,5,7,7,8,"comfortable","comfortable","very comfortable","neutral","neutral","Man","White","Yes",4,4,2,2,4,4,2,2,4,3,4,2,5,4,5,2,4,2,2,2,2,4,3,4,"Out","Out","Out to most","Out to most","Out","Out to most","Not out","Out to most","no","yes","yes",6,4.66666666666667,7,7.33333333333333,3,3,3.5,"white","man","yes","yes","no","grad_student","midwestUS"
619,4,5,5,6,6,6,4,4,4,6,6,5,"comfortable","comfortable","very comfortable","neutral","comfortable","Woman","Asian","Yes",3,4,2,2,3,4,2,3,2,4,3,5,5,4,3,1,4,2,4,3,2,3,2,3,"Out to most","Out to most","Out to a few","Out to a few","Not out","Not out","Not out","Out to a few","no","yes","yes",4.66666666666667,4,6,5.66666666666667,2.75,2.41666666666667,4.125,"asian","woman","yes","yes","no","grad_student",NA
620,8,8,7,8,8,9,7,8,8,6,7,6,"comfortable","very comfortable","comfortable",NA,"comfortable","Man","White","Yes",5,6,6,1,5,2,1,4,1,2,4,3,3,2,4,4,1,4,1,4,4,4,2,3,"Out","Out","Out","Out to most","Out","Out to most","Out to most","Out to most","no","no","yes",7.66666666666667,7.66666666666667,8.33333333333333,6.33333333333333,4.5,3.33333333333333,2.25,"white","man","yes","yes","no","faculty","southeastUS"
621,7,7,7,5,6,7,8,8,8,7,8,7,"comfortable","comfortable","very comfortable",NA,NA,"Woman","Hispanic, Latin*, or Spanish origin","Yes",3,6,6,2,5,1,4,5,4,1,4,3,1,1,5,4,1,4,1,4,4,1,5,4,"Out","Out","Out","Out","Out",NA,NA,"Out","no","yes","no",7,8,6,7.33333333333333,4.25,4.33333333333333,1.25,"latinx","woman","yes","yes","no","other","outsideUS"
622,3,4,2,1,5,1,7,8,10,10,8,10,"uncomfortable","uncomfortable","uncomfortable",NA,"very comfortable","Man","White","Yes",3,3,5,2,2,4,1,1,1,4,4,5,4,4,4,1,4,2,4,1,1,3,1,4,"Out","Not out","Out to some","Out to most","Out to most",NA,"Not out","Out to a few","yes","yes","yes",3,8.33333333333333,2.33333333333333,9.33333333333333,3.25,1.91666666666667,4,"white","man","yes","yes","no","grad_student","midwestUS"
623,8,8,8,8,8,8,8,7,7,7,8,8,"very comfortable","very comfortable","very comfortable",NA,"very comfortable","Woman","White","Yes",4,4,4,2,4,2,3,3,3,2,4,2,2,2,4,4,2,2,2,3,4,3,4,4,"Out","Out","Out to most","Out","Out",NA,NA,"Out","no","no","yes",8,7.33333333333333,8,7.66666666666667,3.5,3.5,2.125,"white","woman","yes","yes","no","postdoc","northeastUS"
625,4,5,4,1,0,0,9,9,10,9,9,9,"uncomfortable","uncomfortable","very comfortable",NA,"comfortable","Man","Hispanic, Latin*, or Spanish origin","Yes",3,3,5,2,2,3,2,2,2,4,3,4,3,2,4,3,2,2,5,2,3,4,2,2,"Out","Out","Out","Out","Out","Out","Out","Out","yes","yes","yes",4.33333333333333,9.33333333333333,0.333333333333333,9,3.25,2.41666666666667,3.375,"latinx","man","yes","yes","no","faculty","midwestUS"
626,8,8,8,7,7,6,6,4,4,7,7,9,"comfortable","comfortable","very comfortable",NA,"very comfortable","Woman","White","Yes",3,5,5,5,4,2,3,4,4,1,4,2,2,2,5,4,2,4,1,4,4,2,4,4,"Out","Out","Out","Out",NA,"Out","Out","Out","no","yes","no",8,4.66666666666667,6.66666666666667,7.66666666666667,4.5,4,1.75,"white","woman","yes","yes","no","staff","westUS"
628,6,10,10,8,7,NA,10,10,10,10,10,NA,"comfortable","comfortable","very comfortable","very comfortable","very comfortable","Man","White","Yes",5,4,6,3,4,2,4,4,4,1,4,4,2,3,5,3,1,4,3,3,4,3,3,4,"Out","Out","Out to most","Out","Out","Out","Out","Out","no","yes","no",8.66666666666667,10,7.5,10,4.5,3.83333333333333,2.375,"white","man","yes","yes","no","faculty","outsideUS"
629,8,6,7,7,8,8,9,9,9,7,7,5,"comfortable","comfortable","comfortable",NA,"neutral","Woman","White","Yes",3,3,3,3,4,2,4,3,4,2,4,3,2,2,4,4,2,4,2,4,4,2,4,4,"Out","Out","Out","Out","Out","Out to a few","Not out","Out to some","no","yes","no",7,9,7.66666666666667,6.33333333333333,3,3.91666666666667,2.125,"white","woman","yes","yes","no","faculty","outsideUS"
630,7,7,8,8,8,8,3,7,7,6,7,5,"uncomfortable","comfortable",NA,"neutral",NA,"A gender that is not listed","White","Yes",1,2,1,1,3,2,4,3,3,3,4,5,2,3,4,4,2,3,3,3,3,3,3,2,"Out","Out to a few",NA,"Out",NA,NA,NA,"Out","yes","yes","yes",7.33333333333333,5.66666666666667,8,6,1.25,3.25,2.875,"white","nonbinary/genderfluid","yes","yes","yes","other","southeastUS"
